iter	Passed	Remaining
0	0	85
1	1	75
2	2	72
3	2	70
4	3	69
5	4	67
6	4	66
7	5	64
8	6	63
9	8	75
10	9	75
11	10	73
12	10	72
13	11	70
14	12	69
15	13	68
16	13	67
17	14	66
18	15	64
19	15	63
20	16	62
21	17	60
22	18	60
23	18	59
24	19	57
25	19	56
26	20	55
27	21	54
28	22	54
29	22	53
30	23	52
31	24	51
32	24	50
33	25	49
34	26	48
35	26	47
36	27	47
37	27	45
38	28	44
39	29	43
40	29	42
41	30	42
42	31	41
43	31	40
44	32	39
45	33	39
46	34	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	35
52	38	34
53	39	33
54	40	32
55	40	32
56	41	31
57	42	30
58	42	29
59	43	29
60	44	28
61	44	27
62	45	26
63	46	25
64	46	25
65	47	24
66	48	23
67	48	22
68	49	22
69	50	21
70	50	20
71	51	19
72	53	19
73	54	18
74	54	18
75	55	17
76	55	16
77	56	15
78	57	15
79	57	14
80	58	13
81	59	12
82	59	12
83	60	11
84	61	10
85	61	10
86	62	9
87	63	8
88	63	7
89	64	7
90	65	6
91	65	5
92	66	4
93	67	4
94	68	3
95	69	2
96	69	2
97	70	1
98	71	0
99	71	0
