iter	Passed	Remaining
0	0	832
1	1	727
2	2	673
3	2	643
4	3	626
5	3	613
6	4	602
7	4	594
8	5	585
9	5	587
10	6	584
11	7	579
12	7	577
13	8	572
14	8	568
15	9	614
16	10	612
17	11	609
18	11	605
19	12	601
20	12	598
21	13	594
22	13	591
23	14	588
24	14	584
25	15	581
26	16	577
27	16	576
28	17	573
29	17	572
30	18	569
31	18	568
32	19	566
33	19	564
34	20	566
35	21	567
36	21	566
37	22	565
38	22	564
39	23	563
40	24	561
41	25	577
42	25	576
43	26	575
44	27	573
45	27	572
46	28	570
47	28	568
48	29	567
49	29	566
50	30	564
51	30	562
52	31	561
53	31	559
54	32	558
55	33	556
56	33	554
57	34	553
58	34	554
59	35	552
60	35	551
61	36	550
62	36	548
63	37	547
64	37	546
65	38	545
66	39	543
67	40	552
68	40	551
69	41	550
70	41	549
71	42	547
72	43	546
73	43	545
74	44	544
75	44	543
76	45	541
77	45	540
78	46	539
79	46	538
80	47	534
81	47	533
82	48	532
83	48	532
84	49	529
85	49	528
86	50	527
87	50	526
88	51	525
89	51	524
90	52	524
91	52	523
92	53	522
93	53	520
94	54	521
95	55	524
96	56	524
97	56	523
98	57	522
99	57	521
100	58	520
101	59	519
102	59	518
103	60	517
104	60	516
105	61	515
106	61	514
107	62	514
108	62	513
109	63	512
110	63	511
111	64	510
112	64	509
113	65	508
114	65	507
115	66	506
116	66	504
117	67	503
118	67	502
119	68	500
120	68	499
121	69	498
122	70	503
123	71	505
124	72	504
125	72	503
126	73	501
127	73	500
128	73	499
129	74	497
130	74	496
131	75	495
132	75	493
133	76	492
134	76	491
135	77	489
136	77	489
137	78	489
138	78	488
139	79	487
140	79	486
141	80	485
142	80	483
143	81	482
144	81	481
145	82	480
146	82	479
147	83	477
148	83	476
149	83	475
150	84	474
151	84	473
152	85	475
153	86	476
154	87	475
155	87	475
156	88	475
157	89	474
158	89	473
159	89	472
160	90	471
161	90	470
162	91	469
163	91	468
164	92	467
165	92	466
166	93	465
167	93	464
168	94	463
169	94	461
170	95	460
171	95	459
172	95	458
173	96	457
174	96	456
175	97	455
176	97	454
177	98	453
178	98	452
179	99	451
180	99	450
181	101	455
182	101	454
183	102	453
184	102	452
185	103	452
186	103	451
187	104	450
188	104	449
189	105	448
190	105	447
191	106	446
192	106	445
193	107	444
194	107	443
195	107	442
196	108	441
197	108	440
198	109	440
199	109	439
200	110	438
201	110	437
202	111	436
203	111	435
204	112	434
205	112	433
206	113	432
207	113	432
208	113	431
209	114	430
210	114	429
211	116	431
212	116	431
213	117	430
214	117	429
215	118	428
216	118	427
217	119	426
218	119	426
219	119	425
220	120	424
221	120	423
222	121	422
223	121	421
224	122	420
225	122	420
226	123	419
227	123	418
228	123	417
229	124	416
230	124	415
231	125	415
232	125	414
233	126	413
234	126	412
235	127	411
236	127	410
237	128	410
238	128	409
239	129	408
240	131	412
241	132	415
242	133	416
243	134	416
244	134	415
245	135	415
246	136	414
247	136	414
248	137	413
249	137	412
250	137	411
251	138	410
252	138	410
253	139	409
254	139	408
255	140	407
256	140	407
257	141	406
258	141	405
259	142	404
260	142	403
261	143	403
262	143	402
263	144	401
264	144	401
265	145	402
266	146	403
267	147	403
268	148	402
269	148	401
270	148	400
271	149	399
272	149	399
273	150	398
274	150	397
275	151	396
276	151	396
277	152	395
278	152	394
279	153	393
280	153	392
281	154	392
282	154	391
283	154	390
284	155	389
285	155	389
286	156	388
287	156	387
288	157	386
289	157	386
290	158	385
291	158	384
292	159	383
293	159	382
294	159	382
295	160	381
296	161	383
297	162	383
298	163	382
299	163	381
300	164	380
301	164	380
302	164	379
303	165	378
304	165	378
305	166	377
306	166	376
307	167	375
308	167	374
309	168	374
310	168	373
311	169	372
312	169	372
313	169	371
314	170	370
315	170	369
316	171	369
317	171	368
318	172	367
319	172	367
320	173	366
321	173	365
322	174	364
323	174	364
324	175	363
325	175	362
326	176	363
327	177	363
328	177	362
329	178	362
330	179	361
331	179	361
332	179	360
333	180	359
334	180	359
335	181	358
336	181	357
337	182	357
338	182	356
339	183	355
340	183	354
341	184	354
342	184	353
343	185	352
344	185	352
345	185	351
346	186	350
347	186	350
348	187	349
349	187	348
350	188	348
351	188	347
352	189	346
353	189	346
354	190	346
355	191	346
356	191	345
357	192	345
358	192	344
359	193	343
360	193	343
361	194	342
362	194	341
363	195	340
364	195	340
365	196	339
366	196	338
367	196	338
368	197	337
369	197	336
370	198	336
371	198	335
372	199	334
373	199	334
374	200	333
375	200	332
376	201	332
377	201	331
378	201	330
379	202	330
380	202	329
381	203	328
382	203	328
383	204	327
384	204	327
385	205	327
386	206	327
387	207	326
388	207	325
389	207	325
390	208	324
391	208	323
392	209	323
393	209	322
394	210	321
395	210	321
396	211	320
397	211	319
398	211	319
399	212	318
400	212	318
401	213	317
402	213	316
403	214	316
404	214	315
405	215	314
406	215	314
407	216	313
408	216	312
409	216	312
410	217	311
411	217	310
412	218	310
413	218	309
414	219	309
415	219	308
416	220	308
417	221	308
418	222	308
419	222	307
420	223	307
421	223	306
422	224	305
423	224	305
424	225	304
425	225	304
426	226	303
427	226	302
428	227	302
429	227	301
430	227	300
431	228	300
432	228	299
433	229	299
434	229	298
435	230	297
436	230	297
437	231	296
438	231	295
439	231	295
440	232	294
441	232	294
442	233	293
443	233	292
444	234	292
445	234	291
446	235	291
447	236	291
448	237	291
449	238	291
450	238	290
451	239	290
452	240	289
453	240	289
454	240	288
455	241	287
456	241	287
457	242	286
458	242	286
459	243	285
460	243	284
461	244	284
462	244	283
463	244	283
464	245	282
465	245	281
466	246	281
467	246	280
468	247	279
469	247	279
470	248	278
471	248	278
472	249	277
473	249	276
474	250	276
475	251	276
476	252	276
477	252	275
478	252	275
479	253	274
480	253	274
481	254	273
482	254	272
483	255	272
484	255	271
485	256	270
486	256	270
487	257	269
488	257	269
489	258	268
490	258	267
491	258	267
492	259	266
493	259	266
